formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
나이가 어떻게 되시는데요?	몇 살이야?	휴먼. 나이. 무엇.	거 나이가 어떻게 되나?	몇 살임?	몇살임?	몇 살이야???? (´･ω･`)?	올해 몇살이양~?!?	실례가 안된다면,, 나이가 어떻게 되시나요?	몇 살이신가?....	이 새끼 이거 몇살이여?	나이몇개?	춘추가 어떻게 되는가?	몇 살이냐니깐!	몇 살인 것이오?	혹시.. 몇살이야..?ㅠ	당신은 몇 년?
올해로 열일곱 입니다.	올해로 열일곱이야.	올해. 열일곱.	올해로 열일곱됐지 그래	올해 열일곱이야	나? 올해 열일곱	올해로 열일곱~（￣︶￣）↗　	올해로 열일곱이야!! ^^~	올해로 열일곱 되었습니다.	올해로 열일곱이지~….	올해로 열일곱 쳐먹었다	17인데 왜	금년 열 일곱일세.	올해 열일곱이라니깐!	올해로 열일곱인것이오!	올해 열일곱인데..ㅠㅠ	이번 해는 십칠.
그럼 고등학교 1학년이겠네요.	그럼 고등학교 1학년이겠네.	고등학교. 1학년으로. 귀결.	아이고 그럼 고등학교 1학년인가?	그럼 고1이네?	아 ㄹㅇ? 고1?	고럼 고1이겠네! ( •̀ ω •́ )✧	헐헐 대박 그럼 고1이겟넹~! 완전 귀여워!!	그럼 고등학교 1학년이시겠네요.	그럼 고1이겠네~….	아유 니미럴 핏덩이네 고등학교 1학년인갑제?	고1?	허면 고등학교 일학년이란 말인가?	그럼 고1이겠다니깐!	그럼 고등학교 1학년인 것이겠소.	그럼 혹시 고등학교 1학년이야..? ㅠ	당신은 높은 학교에서 1년.
네 맞아요.	맞아.	맞다.	그치그치~	ㅇㅇ 맞음	ㅇㅇ	맞어유~╰(*°▽°*)╯	마장마장~!	네 그렇습니다.	맞네~….	염병	ㅇ	그렇소	그렇다니깐!	그렇소!	응..	그런.
장래희망이 어떻게 되세요?	장래희망이 어떻게 돼?	장래희망. 무엇인가.	그럼 그 꿈은 뭐 있나?	장래희망은 뭐야?	커서 뭐할거냐?	장래희망이 뭐야? (+_+)?	그럼 막 꿈 이런거는 뭐야뭐야???!	장래희망이 있습니까?	장래희망이 뭔가?...	나중에 뭐해 쳐먹고 살래?	커서 뭐할거냐	장래에 목표하는 바가 있는가?	장래희망이 뭐냐니깐!	장래희망은 무엇이오?	장래희망은 혹시 뭐야 그럼..?	미래 직업?
저는 외교관 되는게 꿈이에요.	난 외교관이 되는게 꿈이야.	외교관. 되기가. 꿈.	외교관 되는 게 꿈이지 뭐	내 꿈은 외교관 되는거!	나? 외교관이 꿈임	내 꿈은 외교관이 되는거야! (❁´◡`❁)	나아는 외교관!! 외교관되는 게 꿈이양!!	저는 외교관 되는게 꿈입니다.	난 외교관이 되는게 꿈이였지…	외교관 되서 밥벌이 하고 살아야지 시부럴 거	외교관 될건데 왜	과인은 외교관이 되고자 함이오.	난 외교관 되는게 꿈이라니깐!	소인은 외교관이 되는게 꿈이오!	난 외교관 되고싶을 것 같은데.. ㅠㅠ	외교관 꿈을 꾼다.
																
안녕하십니까?	안녕?	휴먼. 반갑다.	안녕하십니까~ 예 뭐 잘 지내셨나 ㅎㅎ	안뇽?	ㅎㅇ?	안뇽안뇽? ^_~	헐 안녕안녕~ 너무 반갑당 ^0^~!	안녕하십니까?	안녕한가?~…	니기럴 거 아직 안 뒈지고 잘살고 있었냐?	ㅎㅇ	반갑소	안녕하냐니깐!	잘지냈소?	안녕	반가운.
안녕하세요.	안녕.	휴먼. 반갑다.	예 뭐 잘 지내지 머 별일이 있었겠어	안뇽안뇽	ㅎㅇㅎㅇ	안녕~[]~(￣▽￣)~*	헐 대박 안뇽안뇽 너~무 오랜만이잖아~	안녕하세요.	안녕하지~….	아쉽게도 아직 뒈지진 않았네	ㅎㅇ	반갑네	안녕하다니깐!	잘 지내고있소!	안녕	반가운.
저는 출근하는게 너무 즐거워요.	나는 출근하는게 너무 즐거워.	안드로이드. 출근. 즐겁다.	아유 나는 출근하는게 너~무 좋아 응 딱 내 스타일이야	출근 너무 좋다~	출근 ㄹㅇ 꿀잼인 부분,,,	난 출근하는게 너무나 좋은 것이와요~(❁´◡`❁)	나 오늘 출근하는데 완전 대박 나 너무 즐겁잖아~ 나 완전 출근 체질인가봐!! 어떡해~!	출근하는게 너무 즐겁네요. ㅎㅎ	나는 출근하는게…그렇게나 좋네 그려…	출근 시발 거 너무 즐겁네 그래	출근하는거 좋음	과인은 출근이 크게 즐겁소.	난 출근이 제일 즐겁다니깐!	소인은 출근이 너무 즐거운 것이오!	난 출근하는 거.. 좀 좋아하는 것 같아 ㅠㅠ	나는 노동 경로를 즐긴다.
무슨 일 하시는데요?	무슨 일 하는데?	하는일. 무엇.	무슨 일을 하는데 그려	무슨 일 함?	뭔 일함?	뭔 일행? (⊙_⊙)？	헐헐 완전 대박이네 무슨 일 하는데에~?	실례가 안된다면 무슨 일,, 하시고 계신가요?	무슨 일 하고 있는가~?...	뭔 일을 쳐 해쌌냐?	무슨일하냐	그대의 직업은 무엇인가?	무슨 일 하냐니깐?	무슨 일하시오?	혹시 무슨 일.. 해..? ㅠ	당신은 무엇을 위해 노동?
저는 안무가에요. 유명한 가수들 백댄서도 해요.	난 안무가야. 유명한 가수들 백댄서도 해.	안드로이드. 안무가다. 유명한 가수들. 백댄서 한다.	나 안무가잖아 유~명한 가수들 그 뭐야 백댄서도 가끔 해~	나 안무가하는데 유명한 가수들 백댄서도 하고 있음	나? 안무가 ㅋㅋ 유명한 가수들 백댄서도 함	난 안무가야 ヾ(⌐■_■)ノ♪. 유명한 가수들 백댄서도 하고 있엉 (づ￣ 3￣)づ	나아는,, 안무가! 완전 유명한 가수들 백댄서도 하고 뭐 그 정도~?	저는 안무가입니다,, 유명한 가수들 백댄서도 하고 있습니다.	나는…안무가지~…유명한 가수들 뒤에서…백댄서도 하고 있지…	나 빵댕이 흔들어재끼는 일 하제 염별할 유명한 놈들 뒤에서 백댄서도 하는디 시부럴 거	안무가임 유명한 가수들 백댄서도 함	짐은 안무가요. 저명한 악사들의 백댄서 또한 겸하오.	난 안무가라니깐! 유명한 가수들 백댄서도 하고 있다니깐!	소인은 안무가요! 유명한 가수들의 백댄서도 하고 있소!	난 안무가인데.. 그.. 유명한 가수들 백댄서도 해	나는 무희다. 유명한 가수들 뒤에서 춤을 추는.
원래 춤을 좋아하신거에요?	원래 춤을 좋아해?	원래. 춤. 선호하나.	어유~ 그래? 아 근데 원래 춤을 좋아하던가?	아 원래 춤 좋아했어?	오지구요 지리구요~ 원래 춤 좋아함?	원래 춤 좋아해??? (＃°Д°)	헐 완~전 대박 춤을 원래부터 막 좋아했던 거야~? 뭐야뭐야 완전 대박~	원래 춤을 좋아하십니까?	원래 춤...좋아하나?...	염병 니가 원래 춤을 좋아하긴 했냐	ㅋ춤좋아하나보네	본디 안무를 선호하는가?	춤 좋아하냐니깐!	춤은 좋아 하시오?	혹시.. 춤은 원래 좋아하는 거야 그럼..? ㅠ	근본 춤 선호?
네, 어렸을 때부터 춤이 너무 좋았어요.	응, 어렸을 때부터 춤이 너무 좋았어.	그렇다. 어렸을. 때부터. 춤. 좋아한다.	아 그럼~ 어릴 때부터 기~냥 날아댕겼지 그래	어렸을 때부터 춤 좋아하긴 했음	ㅇㅇ 어릴 때부터 춤 좋아함	ㅇㅇㅇ 어렸을 때부터 춤이 엄청 좋았어! 〜(￣▽￣〜)	아니 내가 또 어릴 때부터 춤이 너~무 좋은 거 있지	예,, 어렸을 적부터 춤이 너무 좋았습니다.	그치…어릴 때부터..그…춤을…엄청 좋아했지…	새파란 놈 때부터 환장하게 좋아했지	ㅇ 어렸을때부터 좋았는데 왜	그렇소. 소싯적부터 안무를 크게 선호하였소.	그렇다니깐! 어렸을 때부터 춤이 엄청 좋았다니깐!	그렇소! 소인은 어릴 때부터 춤을 굉장히 좋아했소!	응..ㅠㅠ 어렸을 때부터 춤이 좋았어 ㅠ	그런. 나는 어릴 때부터 무희가 좋았다.
그럼 춤에 대한 재능은 언제 처음 아셨나요?	그럼 춤에 대한 재능은 언제 처음 알았어?	춤. 재능. 자각. 언제인가.	그럼 그 춤에 대한 재능은 언제 처음 알았나? 응?	너 춤 잘 추는건 언제부터 알았음?	그럼 춤에 재능있는 거 언제 처음 앎?	그럼 춤에 대한 재능은 언제 첨 안거야? ¯(°_o)/¯	완전 쩐다~ 그럼 춤에 막 재능 있는 건?! 언제 처음 아라써~?!	그럼 춤에 대한 재능은 언제 처음 알게 되셨습니까?	그럼..자네는..춤에 재능있다는걸..언제…처음 알았나?...	그 놈의 염병할 재능은 언제 처음 알게 됏냐	언제부터 잘했냐	허면 안무에 대해 재능이 있음을 언제 자각하였단 말인가?	그럼 춤에 재능있다는건 언제 처음 깨달았냐니깐?	그럼 춤에 대한 재능은 언제 깨달았던 것이오?	그럼.. 춤에 대한 재능은 혹시 언제 처음 알았어..?	언제 춤이 좋다는 사실을 발견?
일곱살때 전국노래자랑 나갔는데 그 때 처음 알게 됐어요.	일곱살때 전국노래자랑 나갔는데 그 때 처음 알게 됐어요.	일곱살. 전국노래자랑. 나갔다. 그때. 자각.	7살 때 전국노래자랑에 딱 나갔는데 그때 딱 느낌이 왔지	일곱살때 전국노래자랑 나가고나서 그 대 처음 알게됐음	7살 때 전국노래자랑 나갔는데 그 때?	나 일곱살 때 전국노래자라 나갔는데 그 때 첨 알게됨!  (●ˇ∀ˇ●)	7살 때 내가 전국노래자랑 나갔었거든? 그때 처음 딱 알았지~ 운명인가봐 ㅎㅎ~!	7살 때 전국노래자랑에 나갔는데 그때 처음 알게 되었습니다.	내가..일곱살 때…전국노래자랑에 나갔었는데…그 때 처음 알게됐지…	7살 때 전국노래자랑 나가서 지랄육갑 떨다가 알게 됐지	7살때 전국노래자랑 나갔는데 잘한단 소리좀 들었음	일곱 살때 전국노래자랑에 나가 깨닫게 됨이요.	일곱 살 때 전국노래자랑 나갔었는데 그 때 처음 알게 되었다니깐!	소인이 일곱살 때 전국노래자랑에 나갔는데 그 때 처음 알게 된 것이오!	일곱 살 땐가..? 전국 노래자랑 나갔는데 그때 처음 알았어..ㅠ	처음 느낀 것은 7년에 전국 노래 대회 참가 중.
혹시 유튜브에도 나오신적 있으세요?	혹시 유튜브에도 나오신적 있으세요?	유튜브. 출연경험. 있는가.	혹시 그 뭐야 유튜브 뭐 그런 거에도 나온 적이 있남?	유튜브에도 나가본적 있음?	혹쉬 유튜브 나온 적 있음?	유튭에도 나온적 있어?  (´･ω･`)?	혹시혹시 막 유튜브 이런데에도 나온 적 있어? 진짜 그럼 완전 대박 ☜(ﾟヮﾟ☜)	혹시,, 유튜브에도 나오신 적 있으신지요?	그…혹시…유튜브에도 나온 적 있나?...	그 뭐여 유튜븐가 뭔가 그런 개나리 쌍쌍바 같은 거에도 나오냐?	유튜브엔 안나오냐	허면 유튜브에도 나온 적이 있단 말인가?	그럼 유튜브에도 나온적 있냐니깐!	그럼 혹시 유튜브에도 나온적 있으신 것이오?	그럼.. 혹시 유튜브에도.. 나온 적 있어..? ㅠ	유튜브에 등장한 적이 있나요?
네, TV에도 여러 번 나왔어요.	네, TV에도 여러 번 나왔어요.	그렇다. TV에도. 여러 번. 출연함.	아유 그럼~ TV에도 여러 번 나왔는데	ㅇㅇ TV에도 몇 번 나갔었음	ㅇㅇ 티비에도 여러 번 나옴 ㅋㅋ	 그럼~ :) , TV에도 여러분 나왔음 ✪ ω ✪	어유~ 당연하징!! TV에도 여러 번 나오고 막 그랬어 ㅎㅎ!!	네,, TV에도 몇번 나왔네요 ㅎㅎ	그럼~…테레비에도 여러 번 나왔었지~…	염병 테레비에도 좆창나게 많이 나갓지	TV에 좀 나옴	그렇소. TV에도 여러 번 출연하였소.	그렇다니깐! TV에도 여러 번 나온적 있다니깐!	그렇소! TV에도 여러 번 나왔었소	응.. TV에도 여러 번 나오고 그랬어 ㅠ	그런. TV에도 여러 번 공개된.
이름이 어떻게 되세요?	이름이 어떻게 되세요?	휴먼. 이름. 무엇인가.	그 저 이름이 뭐 어떻게 되나~?	이름이 뭐야?	이름이 뭐냐?	이름은 뭐야?? (⊙_⊙)？	이름이 뭐야뭐야~?	이름이 어떻게 되나요?	그..이름이 어떻게 되나?..	니미럴 이름을 알려줘야 알제	이름 뭐냐	이름이 어떻게 되는가?	이름이 뭐냐니깐!	이름은 어떻게 되오?	그.. 혹시.. 이름이 어떻게 돼..?	당신의 이름은 무엇?
제 백댄서 활동명은 버터플라이입니다.	제 백댄서 활동명은 버터플라이입니다.	안드로이드. 백댄서. 활동명. 버터플라이.	아이 그 버터플라이라고 활동명 따로 있지	나 백댄서 할 때 이름 버터플라이야	활동명은 버터플라이 ㅋㅋ	나 백댄서 활동명은 버터플라이! Ψ(｀∇´)ψ	내 백댄서 활동명은~ 바로바로~ 버터플라이~!!	백댄서 활동명은 버터플라이라고 합니다. 	내 백댄서 활동명은 버터플라이야..	버터플라이다 이 십장생아	활동명은 버터플라이인데 왜	짐의 백댄서 활동명은 버터플라이요.	내 백댄서 활동명은 버터플라이라니깐!	소인의 백댄서 활동명은 버터플라이오!	나 백댄서 활동명은.. 그.. 버터플라이야..ㅠ	나의 백댄서 가명은 나비다.
검색해보니까 진짜 맞네요?	검색해보니까 진짜 맞네요?	검색결과. 사실로 확인.	이야~ 이거 검색해보니까 딱 나오는구만 진짜네 그래?	검색해봤는데 진짜 백댄서네?	헐 검색해보니까 찐이네?	검색해보니까 진짜네?? O((⊙﹏⊙))o.	헐헐 대~박 검색해보니까 딱 나오넹!! 진짠가봐~?!!	검색해보니 진짜로 맞네요	검색해보니까…진짜 맞구만…	얼레 검색해보니까 진짜네 이 미친놈이	ㅋ맞네	검색해보니 참말이로오.	검색해봤는데 진짜라니깐!	오! 검색해보니 진짜 맞소!	검색해봤는데.. 아.. 진짜네..? ㅠ	와! 검색 후 진짜.
그럼 제가 거짓말하는줄 알았어요?	그럼 제가 거짓말하는줄 알았어요?	안드로이드. 거짓말. 하지 않음.	어허 이 사람아 그럼 내가 거짓말 하는 줄 알았어?	그럼 내가 거짓말하는줄 알았음?...	내가 구라치는 줄 앎? ㅋㅋ	그럼 내가 거질말 하는 줄 알았어?! (╬▔皿▔)╯	아유~ 그럼~ 내가 거짓말하는 줄 알았어?!!	그럼 제가 거짓말 하겠습니까 ㅎㅎ	아이! 그럼… 내가 거짓말하는 줄 알았나?...	아이고 등신아 그럼 내가 뭣하러 거짓말을 씨부리것냐	그럼 구라겠냐 ㅡㅡ	허면 과인이 거짓을 논하겠는가?	그럼 내가 거짓말 하는 줄 알았냐니깐!	그럼 소인이 거짓말 하는 줄 알았소?!	그럼 ㅠㅠ 거짓말은 안해..ㅠㅠㅠ	나는 당신에게 거짓말이 없을 것이다
믿기 힘들었어요. 반가워요. 춤 정말 잘 추시네요.	믿기 힘들었어요. 반가워요. 춤 정말 잘 추시네요.	신뢰하기. 어려웠음. 반갑다. 춤실력. 대단하다.	에이 믿기 힘드니까 그랬지 그나저나 어우 반갑네 이야 춤 진짜 기깔나게 잘 추네	바로 믿긴 좀 힘들었음. 근데 진짜 춤 잘 춘다.	냅다 어케 믿음,, 반가웠다 춤 ㄹㅇ 개 잘추네	믿기 힘륻었음…╰(艹皿艹 ).반갑고, 춤 엄청 잘 춤!┗|｀O′|┛ 	아니~ 또 내가 이런 거 막 한번에 믿고 그런 사람이 아니라~ 조금 믿기 어려웠는데,, 근데 진짜 넘넘 반갑당~ 춤 진짜 오나전 대박 잘춰	믿기가 힘들었죠,, 춤 정말 잘 추시네요.	믿기가 힘들었지…반갑구만…춤 정말 잘 추는그만그려…	지랄 육갑 떨고 자빠졌네 내가 널 뭘 보고 믿것냐 그나저나 빵댕이 하나는 정신 머리 빠진년처럼 기가 멕히게 흔들어재끼네	ㅋ 못믿겠네 여튼 춤은 좀 추네	믿기 어려웠을 따름이오. 반갑소. 안무 실력이 출중하오.	믿기 힘들었다니깐! 춤 진짜 잘 춘다니깐!	믿기 힘들었소! 방갑고 춤 정말 잘 춘다고 생각하오!	믿기 힘들었어 그냥..ㅠ 반가워.. 춤 진짜 잘춘다.. ㅠ	믿기 어려운. 당신을 봐서 좋습니다. 당신은 좋은 무희.
																
뭐하고 계세요?	뭐하고 있어?	휴먼. 지금. 뭐하는가.	뭐하고 있는감?	뭐해?	뭐함?	뭐하고 있엉?? (⊙_⊙)?	안뇽안뇽~ 지금 뭐해뭐해~?	뭐하고 계십니까?	뭐하는 거요?...	뭘 또 하고 자빠졌나	뭐하는데	무엇하는가?	뭐하고 있냐니깐! ㅋㅋ	뭐하고 있소?	혹시… 뭐해..?	무엇 당신은 한다 지금?
저는 지금 사막에 와 있어요.	난 지금 사막에 와 있어.	안드로이드. 지금. 사막에. 있다.	아이 나 지금 그냥 사막 와 있어	나 지금 사막임!	나? 지금 사막임	나 지금 사막에 와 있어! ¯(^_^)/¯	나 지금,, 사막 와있다~!!! 완전 대박이지? ㅎㅎ	저는 사막에 잠깐 와있습니다.	난 지금 사막에 와있지~…	에잉 시이벌 지금 사막에 와 있어 염병할	사막인데 왜	짐은 지금 사막에 와 있네.	난 지금 사막에 있다니깐!	이몸은 지금 사막에 와 있는 것이오!	나 지금 그.. 사막인데..ㅠㅠ	저는 사막에 지금.
무슨 이유로 사막에 나가 계세요?	무슨 이유로 사막에 나갔어?	사막으로. 이동. 이유 무엇인가.	아니 무슨 이유로 사막을 다 갔어?	사막엔 왜 감???	엥? 왜?	사막엔 왜 간거야? ┌(。Д。)┐	헐헐 진짜 찐으로 대~박!! 무슨일이야 무슨일이야~!!	사막에는,, 무슨 일로 나가 계신가요?	무슨 이유로 사막을 나간건가?..	허구한 날 지랄이네 지랄이야 또 뭐 땜에 거 가있어	?사막왜갔냐	어떤 연고로 사막에 나갔는가?	뭐 땜에 사막을 나갔냐니깐!	무슨 이유로 사막에 나간것이오?	사막에는 왜.. 갔어 혹시..? ㅠ	당신은 사막을 왜?
한번 즘 사막 보는게 제 꿈이여서 관광 왔어요.	한번 즘 사막 보는게 꿈이여서 관광 왔어.	사막. 한번 보는것. 목표. 따라서. 관광 왔다.	한번쯤 와보는 게 꿈이였어서 기냥 한번 와봤지~	예전부터 한번 정도 사막 보고 싶었어서 와봤음	걍 버킷리스트였음	한 번 쯤 사막 보는게 꿈이라서 관광 왔지   ~(￣_,￣ )	아니 한번쯤 사막 보는 게 내 꿈이였잖아~ 그래서 한번 관광 와봤지 뭐양~ ㅎㅎㅎ	한번쯤,, 사막을 보는게 제 꿈이였습니다.	한 번 정도…사막 보는게 꿈이였거든…그래서 관광왔지…	이런 시부럴 기냥 인생 살면서 뒤지기 전에 사막 한번 와보는게 내 꿈이였다 꿈	사막 보는게 꿈이라 왔다	한번 쯤 사막을 보는 것을 열망하여 관광 오게 되었네.	한 번 정도 사막 보는게 꿈이였다니깐!	한 번 쯤 사막보는게 꿈이라서 관광왔소!	그.. 한번정도 사막.. 보고싶어서 ㅠ 관광왔어	여행 이유는 내가 사막 한번을 보는 것이다.
